Raman Shift,"2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_4","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2044_G_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2045_D_siarczyn_sodu_5,5mM_9s_1acc_30%_3","2045_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2045_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2041_D_siarczyn_sodu_5,5mM_9s_1acc_30%","2041_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2041_G_siarczyn_sodu_5,5mM_9s_1acc_30%","2041_G_siarczyn_sodu_5,5mM_9s_1acc_30%_2","2044_D_siarczyn_sodu_5,5mM_9s_1acc_30%_2"
651.53,19360.0,15532.0,16233.0,18105.0,14887.0,16432.0,15662.0,18725.0,16586.0,17895.0,8998.0,11440.0,16684.0,13164.0,17005.0
653.71,18577.0,15251.0,15870.0,17750.0,14493.0,16205.0,15686.0,18461.0,16676.0,17306.0,9097.0,11368.0,15796.0,13015.0,16813.0
655.89,18436.0,15064.0,15831.0,17806.0,14623.0,16025.0,15429.0,18322.0,16313.0,17327.0,8815.0,11603.0,16107.0,13184.0,16472.0
658.07,19171.0,15340.0,15771.0,18293.0,14902.0,16019.0,15520.0,18853.0,16594.0,17569.0,8871.0,11720.0,16548.0,13293.0,16676.0
660.24,19381.0,15767.0,15976.0,18032.0,14472.0,16359.0,15609.0,19026.0,16469.0,17685.0,9408.0,11923.0,16830.0,13645.0,16401.0
662.42,18759.0,15647.0,15951.0,17827.0,14930.0,15869.0,15463.0,18490.0,16278.0,17609.0,8937.0,11593.0,16529.0,13061.0,16044.0
664.6,19250.0,16249.0,15843.0,17589.0,14493.0,16348.0,15885.0,18813.0,16308.0,17614.0,9110.0,11701.0,16565.0,13282.0,16011.0
666.77,18912.0,15627.0,15825.0,18145.0,14419.0,16396.0,15582.0,19024.0,16581.0,17581.0,8782.0,11589.0,16469.0,13154.0,16020.0
668.95,18819.0,15628.0,16129.0,18223.0,14531.0,16444.0,15364.0,18900.0,16352.0,17477.0,8875.0,11732.0,16263.0,13300.0,15928.0
671.12,19132.0,15391.0,16391.0,18221.0,14933.0,16506.0,16015.0,18870.0,16755.0,17767.0,9280.0,11817.0,16866.0,13420.0,16325.0
673.29,19026.0,15586.0,16329.0,18311.0,14235.0,16183.0,15770.0,18584.0,16832.0,17747.0,9034.0,12000.0,16583.0,13429.0,16413.0
675.46,19257.0,15636.0,16573.0,18145.0,14543.0,16192.0,15383.0,18743.0,16269.0,17541.0,9128.0,11527.0,16053.0,13230.0,15923.0
677.63,18944.0,15319.0,16009.0,17959.0,14289.0,16009.0,15509.0,18561.0,16257.0,17546.0,8899.0,12238.0,16595.0,13234.0,16146.0
679.8,19303.0,15805.0,16196.0,18525.0,14552.0,15915.0,15760.0,18536.0,16405.0,17922.0,9180.0,11566.0,16579.0,13511.0,16306.0
681.97,19082.0,15729.0,16353.0,18347.0,14581.0,16060.0,15461.0,18321.0,16565.0,17555.0,9031.0,11812.0,16314.0,13209.0,15871.0
684.14,19185.0,15789.0,16394.0,18572.0,14610.0,16220.0,15328.0,18479.0,16043.0,17555.0,9050.0,11789.0,16592.0,13167.0,16203.0
686.3,19631.0,16846.0,15899.0,18081.0,14193.0,15798.0,15315.0,18192.0,16052.0,17835.0,8882.0,11478.0,16090.0,13301.0,15771.0
688.47,21234.0,18631.0,16237.0,18423.0,14469.0,15917.0,15500.0,17987.0,16532.0,18021.0,8867.0,11639.0,16401.0,13400.0,16482.0
690.63,20694.0,17551.0,16095.0,18361.0,14593.0,15880.0,15036.0,17607.0,16100.0,17601.0,8824.0,11651.0,16016.0,13253.0,16145.0
692.8,19299.0,15623.0,15920.0,18890.0,14603.0,15817.0,15309.0,17819.0,16536.0,17472.0,9160.0,12039.0,16393.0,12939.0,16116.0
694.96,18695.0,15355.0,15921.0,17739.0,14605.0,16246.0,15562.0,17711.0,15923.0,17575.0,8682.0,11501.0,16211.0,13037.0,15813.0
697.12,19056.0,15201.0,16340.0,17952.0,14731.0,16200.0,15362.0,18016.0,16164.0,17581.0,8629.0,11637.0,16010.0,12965.0,16361.0
699.28,18543.0,14832.0,15670.0,18091.0,14123.0,15703.0,15258.0,17488.0,16324.0,17554.0,8806.0,11479.0,15953.0,12858.0,15954.0
701.44,18882.0,15313.0,16389.0,17961.0,14242.0,15905.0,15502.0,17771.0,16480.0,17570.0,9006.0,11573.0,16206.0,13000.0,16393.0
703.6,18893.0,14838.0,16021.0,17545.0,14205.0,16051.0,15141.0,17470.0,16080.0,17570.0,8912.0,11691.0,16436.0,13319.0,16266.0
705.76,18886.0,15068.0,16133.0,17805.0,14232.0,16099.0,15191.0,17598.0,16552.0,17197.0,8786.0,11704.0,16336.0,12931.0,16182.0
707.91,18192.0,14848.0,15759.0,17750.0,14216.0,15725.0,15606.0,17185.0,16382.0,17235.0,8733.0,11831.0,15663.0,13416.0,15851.0
710.07,18620.0,15091.0,15971.0,18029.0,14440.0,16210.0,15257.0,17382.0,15890.0,17448.0,8808.0,11279.0,15516.0,13045.0,15974.0
712.22,18315.0,15104.0,15951.0,17770.0,14391.0,15905.0,15236.0,17662.0,16302.0,17063.0,8790.0,11686.0,15878.0,13363.0,15897.0
714.38,17944.0,14717.0,15332.0,17246.0,14088.0,15672.0,14936.0,16960.0,15944.0,16680.0,8581.0,11365.0,15729.0,12863.0,15772.0
716.53,18137.0,14922.0,15582.0,17530.0,14336.0,15764.0,14938.0,17030.0,15994.0,16652.0,8493.0,11218.0,15840.0,12642.0,15593.0
718.68,17996.0,14713.0,15717.0,17414.0,14126.0,15013.0,14721.0,16504.0,15887.0,16538.0,8946.0,11391.0,15881.0,12910.0,15720.0
720.84,17872.0,14886.0,15489.0,17152.0,13608.0,15546.0,14869.0,17144.0,15497.0,16505.0,8631.0,11301.0,15789.0,12496.0,15344.0
722.99,17883.0,14710.0,15628.0,17710.0,13822.0,15205.0,14802.0,16986.0,15386.0,16987.0,8784.0,11118.0,15870.0,12572.0,15599.0
725.14,17813.0,14582.0,15332.0,17350.0,13833.0,15554.0,14642.0,16962.0,15506.0,16223.0,8814.0,11279.0,15730.0,12768.0,15176.0
727.28,18118.0,14616.0,15329.0,17299.0,13909.0,15720.0,14773.0,17165.0,15662.0,16573.0,8718.0,11096.0,15741.0,13005.0,15985.0
729.43,18259.0,14619.0,15543.0,17399.0,13766.0,15481.0,15012.0,16946.0,15729.0,16790.0,8288.0,11052.0,15741.0,12646.0,15659.0
731.58,18075.0,14618.0,15579.0,17339.0,14209.0,15456.0,14763.0,17073.0,15838.0,17064.0,8318.0,11017.0,15651.0,12503.0,15545.0
733.72,17929.0,14468.0,14954.0,17278.0,13386.0,15620.0,14359.0,16785.0,15526.0,16561.0,8235.0,10836.0,15362.0,12324.0,15286.0
735.87,17530.0,14281.0,15019.0,16495.0,13570.0,15272.0,14849.0,17015.0,14993.0,16279.0,8242.0,10851.0,15590.0,12567.0,15374.0
738.01,17577.0,14118.0,14923.0,16771.0,13597.0,14995.0,14270.0,16469.0,15509.0,16595.0,8598.0,10785.0,15376.0,12343.0,15022.0
740.16,17509.0,14243.0,14935.0,17013.0,13485.0,15254.0,14499.0,16915.0,15340.0,16207.0,8336.0,10576.0,15631.0,12371.0,15295.0
742.3,17294.0,14259.0,14989.0,16737.0,13471.0,15013.0,14559.0,16655.0,15444.0,15926.0,8444.0,10849.0,15072.0,12350.0,14603.0
744.44,17510.0,14677.0,14827.0,16328.0,13394.0,14980.0,14657.0,16546.0,15300.0,16311.0,8467.0,10832.0,15155.0,12576.0,14946.0
746.58,17344.0,14558.0,14831.0,16532.0,13719.0,14745.0,14453.0,16416.0,15641.0,16029.0,8441.0,10940.0,15400.0,12564.0,14911.0
748.72,17243.0,14035.0,14710.0,16446.0,13582.0,14561.0,14307.0,16287.0,15379.0,15853.0,8294.0,10732.0,15164.0,12252.0,15145.0
750.86,17665.0,14616.0,15035.0,16833.0,13770.0,14694.0,14331.0,16457.0,15513.0,16041.0,8392.0,10811.0,15369.0,12389.0,14949.0
753.0,17265.0,13822.0,14722.0,16580.0,13546.0,14773.0,14138.0,16301.0,14977.0,15978.0,8218.0,10547.0,15648.0,12313.0,14627.0
755.13,17426.0,14223.0,14997.0,16793.0,13734.0,14707.0,14362.0,16554.0,15220.0,15987.0,8202.0,10760.0,15066.0,12167.0,15152.0
757.27,17294.0,13984.0,14797.0,16503.0,13821.0,14226.0,14623.0,16411.0,15362.0,16279.0,8192.0,10771.0,15417.0,12374.0,14891.0
759.4,16936.0,13942.0,14774.0,16227.0,13405.0,14737.0,14042.0,16024.0,14894.0,16072.0,8052.0,10330.0,14848.0,12006.0,14441.0
761.54,16984.0,14295.0,14540.0,16726.0,13378.0,14247.0,14338.0,16166.0,15205.0,16282.0,8202.0,10609.0,14707.0,11950.0,14782.0
763.67,16811.0,13904.0,14441.0,16283.0,13241.0,14274.0,13967.0,15954.0,15072.0,15623.0,7802.0,10782.0,14675.0,11800.0,14349.0
765.8,16659.0,13619.0,14402.0,16193.0,13281.0,14135.0,13911.0,16072.0,14652.0,15617.0,8019.0,10462.0,14711.0,11811.0,14076.0
767.93,16835.0,13800.0,14453.0,16182.0,13083.0,14387.0,13990.0,16106.0,15125.0,15567.0,8225.0,10373.0,14797.0,12146.0,14407.0
770.06,17055.0,14243.0,14939.0,16326.0,13267.0,14285.0,13986.0,15949.0,15075.0,15772.0,7981.0,10405.0,15010.0,12173.0,14695.0
772.19,16901.0,14130.0,14545.0,16234.0,13368.0,14262.0,14046.0,15991.0,14848.0,15663.0,7822.0,10578.0,14732.0,11991.0,14245.0
774.32,16584.0,13878.0,14604.0,16342.0,13139.0,14253.0,14066.0,16056.0,14875.0,15999.0,7822.0,10496.0,14413.0,12121.0,14568.0
776.45,16563.0,13810.0,14335.0,15974.0,12543.0,14314.0,13482.0,15665.0,14973.0,15520.0,7944.0,10597.0,14541.0,12155.0,14565.0
778.58,17033.0,13888.0,14685.0,16191.0,12865.0,13874.0,13386.0,15292.0,14541.0,15704.0,7542.0,10416.0,14372.0,11996.0,14439.0
780.7,16568.0,13446.0,14651.0,16109.0,12599.0,13959.0,13666.0,15637.0,14776.0,15447.0,7501.0,10426.0,14654.0,11686.0,14183.0
782.83,16871.0,13165.0,14445.0,15975.0,12887.0,13905.0,13701.0,15577.0,14688.0,15659.0,7861.0,10297.0,14221.0,11728.0,14293.0
784.95,16899.0,13466.0,14375.0,16460.0,13233.0,14185.0,13597.0,15501.0,14552.0,15396.0,7546.0,10385.0,14442.0,11805.0,14119.0
787.07,16511.0,13467.0,14107.0,16095.0,13075.0,13949.0,13526.0,15357.0,14832.0,15706.0,7808.0,10095.0,14408.0,11662.0,14426.0
789.19,16741.0,13398.0,14296.0,15638.0,12581.0,13866.0,13546.0,15913.0,14515.0,15243.0,7355.0,9790.0,14493.0,11580.0,14204.0
791.32,16876.0,13228.0,14096.0,15955.0,12649.0,13932.0,13351.0,15309.0,14229.0,15166.0,7679.0,10291.0,13995.0,11675.0,14181.0
793.44,16889.0,13052.0,14212.0,15893.0,12859.0,13790.0,13515.0,15436.0,14412.0,15711.0,7723.0,9952.0,14264.0,11661.0,14143.0
795.56,16582.0,13541.0,13957.0,16065.0,12572.0,13669.0,13420.0,15151.0,14460.0,15113.0,7516.0,10181.0,14309.0,11424.0,13755.0
797.67,16143.0,12757.0,14063.0,15955.0,12883.0,13619.0,13443.0,15494.0,14335.0,15317.0,7551.0,9841.0,14490.0,11400.0,13879.0
799.79,16226.0,13258.0,14193.0,16123.0,12863.0,13349.0,13509.0,15653.0,14509.0,15534.0,7524.0,9850.0,14237.0,10762.0,14021.0
801.91,16398.0,13709.0,14452.0,16287.0,13192.0,13821.0,13442.0,15327.0,15110.0,15590.0,7599.0,10293.0,14431.0,11202.0,14258.0
804.02,16073.0,13634.0,14525.0,15991.0,12687.0,13921.0,13627.0,15842.0,14548.0,15514.0,7537.0,10231.0,13922.0,11690.0,14179.0
806.14,16777.0,13270.0,14699.0,16125.0,13192.0,14019.0,13568.0,15569.0,14743.0,15841.0,7464.0,9870.0,14202.0,11239.0,14319.0
808.25,16098.0,13436.0,14725.0,16049.0,13023.0,13383.0,13361.0,15318.0,14357.0,15110.0,7777.0,10005.0,14031.0,11097.0,14439.0
